"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@JasminMarin16","Jasmin Marin","« J’ai regardé les jeunes dire : ""Ce n’est dangereux que si vous êtes vieux"", puis ils ont commencé à tomber malades et à mourir https://t.co/TKSk6is0rQ qui ai travaillé un temps dans les pompes funèbres, j’ai vu des drones à distance capturer des images de fosses communes... » https://t.co/lN7WoAL0JN","0","0","0","1587387425000","20 Apr 2020","JasminMarin16/status/1252219738844954624","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@OGEscobar2","Mr. Lorenzo","@NicolasMaduro VÍ UN DRONE DE EEUU CON EL NOMBRE DE MADURO Y CABELLO, ES CUESTIÓN DE TIEMPO.","0","0","0","1587385672000","20 Apr 2020","OGEscobar2/status/1252212386733449216","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@DjDrone_410","𝐒𝐭𝐮𝐚𝐫𝐭","@Blackpanthr1101 Good shizz man","0","0","1","1587387706000","20 Apr 2020","DjDrone_410/status/1252220918639865856","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@cnnturk","CNN TÜRK #EvdeKal","Ekmeğini marketten drone ile aldı https://t.co/G3clUG1V45 #karantina #koronavirüs https://t.co/EKwwunNckW","2","1","32","1587386280000","20 Apr 2020","cnnturk/status/1252214936916328454","https://twitter.com/search?lang=en&q=drone&src=typed_query","karantina | koronavirüs"
"@ISLAMICINTELL18","F.A.M.E.D ISLAMIC INTELLIGENCE","#covid19 #israel #france #china #usa There are 12 strains of coronaviruses, targeting each major ethny, spread by drones worldwide.. USA, India, Japan, France, Canada, Israel, Australia, Russia, UK, South Korea, Germany worked directly on","1","0","0","1587385977000","20 Apr 2020","ISLAMICINTELL18/status/1252213664863698946","https://twitter.com/search?lang=en&q=drone&src=typed_query","covid19 | israel | france | china | usa"
"@VonnieMarie13","Yvonne☕️","@MattWalshBlog I see a drone hovering over my property and I’ll shoot it right outta the sky and drop the pieces on the police dept’s front steps.","0","0","0","1587387259000","20 Apr 2020","VonnieMarie13/status/1252219040975802368","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Drone_alon","드론동결","으으....어지러워... 악의 에너존때문인가?","0","0","0","1587387146000","20 Apr 2020","Drone_alon/status/1252218568696987650","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@BarrysStrawman","Lying Dog Faced Pony Soldier ن","#DemocRATs Use Chinese Drones to Enforce Social Distancing because Nazi Germany doesn't exist anymore to build drones to oppress you https://t.co/MuHfMN6EUb","0","0","0","1587386958000","20 Apr 2020","BarrysStrawman/status/1252217779249311747","https://twitter.com/search?lang=en&q=drone&src=typed_query","DemocRATs"
"@CERBAIR","CERBAIR","Make sure you subscribe to our newsletter to get your regular dose of anti-drone insights. A handy solution to keep you updated on drone incidents and our latest dev. Join us here ➡️ https://t.co/gy9F6GF3Nv #CUAV #CUAS #antidrone #dronedetection #dronesecurity #airspacesecurity https://t.co/TOxv7vCCcr","0","0","0","1587387610000","20 Apr 2020","CERBAIR/status/1252220516498321409","https://twitter.com/search?lang=en&q=drone&src=typed_query","CUAV | CUAS | antidrone | dronedetection | dronesecurity | airspacesecurity"
"@Mary16439863","Mary Woods","@ouchinagirl @SidneyPowell1 @MayorBollwage Shoot the drones down 🤷🏻‍♀️","0","1","1","1587385947000","20 Apr 2020","Mary16439863/status/1252213538300493829","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
