"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@SARVESH85488187","SARVESH YADAV","#SaytHomesaytsafe#COVD_19 https://t.co/4dVMa8x0MM","0","0","0","1587367414000","20 Apr 2020","SARVESH85488187/status/1252135807411867648","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Negirl72","COVD19 Frontline Healer","@AbbyJohnson @Bishopoftyler Abby please research Catholic Church & all its abuses. There is a graveyard of babies in Ireland from aborted babies from nuns. Look how much $ church has paid out to victims of sexual abuse. You are in wrong faith. Look into small church’s born again. God will judge the church","0","0","0","1587311895000","19 Apr 2020","Negirl72/status/1251902941260206081","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@mitsune78","Magos Alva 🐺 💖🐰","@AlejandroMtzMed Tal vez hubieran inventado que se enfermó de covd19 y hubiera muerto.","0","0","1","1587309981000","19 Apr 2020","mitsune78/status/1251894914021052418","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@MyPlace4U","T-Covfefe","@WhiteHouse @Mike_Pence @POTUS @BilldeBlasio @IvankaTrump @SecAzar @stevenmnuchin1 @PressSec Does @NYCMayor not realize that it Congress, not the White House, who is the one who approves money for different regions? I do think NYC area should get extra COVD-19 funding tho.","0","1","1","1587366724000","20 Apr 2020","MyPlace4U/status/1252132913602322433","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Jairo32019122","Piscis, siempre 💪💜🔻💚👍❤️✌️❤️💛💜😁🤗😘","Aquí los datos del COVD19, Madrid desde el inicio de la pandemia fue la mayor perjudicada por la pandemia + los recortes PP, en la capital se recortó más que en otros ciudades de España, pedimos al gobierno español, que cuando acabe está pesadilla ponga una querella al PP. https://t.co/BOqGzRtMzp","1","0","1","1587374748000","20 Apr 2020","Jairo32019122/status/1252166566818590720","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@GelCumali","cumali gel","#actnearn Lady Gaga on the global online concert Global Citizen to mobilize support for the efforts to fight COVD19. https://t.co/ym25CoPmqL","0","0","0","1587328453000","19 Apr 2020","GelCumali/status/1251972390327910406","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","actnearn"
"@DaveCampaigns","Dr David PhD #FPBE #FBR 💚🇪🇺#IamEuropean","@cerihand This is from an FB group called Music for a Future on Our Own and now Covd19 - started to survive brexit. Let's says its - eclectic - https://t.co/PVb1P1US3d","0","0","0","1587376282000","20 Apr 2020","DaveCampaigns/status/1252173002499817474","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@p_dt","Philip Tangco","@fthilbay Ano balak NILA? Puro yabang, sindak, wala ng plano at wala man lang paglinaw sa Taong Bayan kung ano ang kaharap. Baka 'di man NILA naiintindihan NILA ang COVD19 at ang Tao. The Science Behind the Coronavirus Series 1 https://t.co/CnGJlF6HUn Series 2 https://t.co/5YKH1HvkY7","0","0","0","1587359258000","20 Apr 2020","p_dt/status/1252101596286074880","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@DamazioIzael","Izael Damázio","@CarlaZambelli38 @RodrigoMaia @jairbolsonaro Queremos solução, queremos notícias de reuniões sobre a crise covd-19, econômica e combate a corrupção e desigualdade . Enquanto fazem política a oposição trabalha 24:HS por dia, incansável para derrubar o Governo federal (Bolsonaro). O Brasil exige mais do que palavras! https://t.co/049aNySlXI","0","5","6","1587346824000","20 Apr 2020","DamazioIzael/status/1252049444784218113","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@qjehdhdujejejjd","Dream Flyer","@psimpsonmorgan I dont get what Australia is doing, we cant eliminate Covd-19, otherwise borders shut for years! Thats a disaster","1","0","0","1587366768000","20 Apr 2020","qjehdhdujejejjd/status/1252133097727905792","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@BobbyFr49455571","Bobby","@NancyLeeGrahn May covd19 grab him and not let go!","0","0","1","1587342292000","20 Apr 2020","BobbyFr49455571/status/1252030436685025280","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@ifeanyicy","IfeanyiCy Njoku","Davido's fiancée, Chioma Recovers, Test Negative Twice for COVD-19 https://t.co/tOB76m3sQY https://t.co/xQ8MY227ts","0","0","0","1587342392000","20 Apr 2020","ifeanyicy/status/1252030856979296256","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@LaLibertadCo","Diario La Libertad","Mipymes, las más impactadas con la emergencia por el Covd-19 https://t.co/6txjQZgxOa https://t.co/0OnL1ss1gX","0","0","1","1587333200000","19 Apr 2020","LaLibertadCo/status/1251992300651270146","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@AFTteach","AFT TEACH","Are you #QuarenTeaching? Join this @AFTunion webinar ""Simple Digital Tools for Online Learning"" to help you connect with your students in a meaningful way. 4/23 @ 7pm EDT. Register now! https://t.co/xcr1QZgwgC #COVD19 #Quaranteacher @AFTunion @AFTteach @audraamy @Riftcol https://t.co/fl9CT4HXWE","0","3","2","1587341702000","20 Apr 2020","AFTteach/status/1252027963190763521","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","QuarenTeaching | COVD19 | Quaranteacher"
"@Arkansas_72701","Fayetteville, AR","Americans were members of the WHO that supposedly ""hid"" the information about COVD19. Birx said today that reporting information isn't enough. We have to ""overcommunicate"" information. That is Trumpian lying.","1","0","1","1587323396000","19 Apr 2020","Arkansas_72701/status/1251951179891949570","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Davi74368318","Davi","@gamerdeesquerda @CarlosBolsonaro Vai comprar seu caixão na liquidação do Covd 19, que tem na esquina da sua casa!!!","0","0","0","1587380804000","20 Apr 2020","Davi74368318/status/1252191969864036359","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
